Id,average_steps,average_sleep_hours
1503960366,11641.0,5.7
2347167796,9800.0,8.0
5553957443,8355.0,6.1
4702921684,7943.0,6.8
8792009665,3095.0,5.1
6775888955,5559.0,5.2
1927972279,2181.0,4.7
5577150313,8608.0,5.3
6962181067,12640.0,6.9
4445114986,4293.0,3.8
6117666160,8249.0,4.9
3977333714,8664.0,6.9
4319703577,7821.0,8.0
8378563200,8135.0,5.1
2026352035,3393.0,9.1
4020332650,5777.0,4.8
7086361926,6104.0,6.9
