Id,average_sleep_hours
7086361926,6.9
4702921684,6.8
6775888955,5.2
1927972279,4.7
5577150313,5.3
2026352035,9.1
1503960366,5.7
8792009665,5.1
4020332650,4.8
8378563200,5.1
4445114986,3.8
2347167796,8.0
6962181067,6.9
4319703577,8.0
5553957443,6.1
6117666160,4.9
3977333714,6.9
